,rank,title,rate
829,30,작은 아씨들,8.84
830,31,아멜리에,8.82
831,32,미드웨이,8.80
832,33,위플래쉬,8.79
833,34,너의 이름은.,8.78
834,35,"가장 따뜻한 색, 블루",8.77
835,36,도그빌,8.76
836,37,베스트 오퍼,8.65
837,38,플로리다 프로젝트,8.64
838,39,69세,8.63
839,40,라라랜드,8.61
840,41,족구왕,8.54
841,42,삼진그룹 영어토익반,8.47
842,43,로렌스 애니웨이 ,8.44
843,44,카페 벨에포크,8.42
844,45,셔터 아일랜드,8.37
845,46,레볼루셔너리 로드,8.37
846,47,복수는 나의 것,8.37
847,48,메기,8.29
848,49,테넷,8.27
849,50,야구소녀,8.19
850,1,부활: 그 증거,9.51
851,2,포드 V 페라리,9.49
852,3,소년시절의 너,9.40
853,4,죽은 시인의 사회,9.37
854,5,"미안해요, 리키",9.34
855,6,시네마 천국,9.32
856,7,패왕별희 디 오리지널,9.32
857,8,폴란드로 간 아이들,9.31
858,9,공동경비구역 JSA,9.27
859,10,피아니스트의 전설,9.25
860,11,어느 가족,9.20
861,12,톰보이,9.20
862,13,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.17
863,14,조조 래빗,9.16
864,15,나이브스 아웃,9.11
865,16,타오르는 여인의 초상,9.06
866,17,노트북,9.05
867,18,올드보이,9.05
868,19,박하사탕,9.03
869,20,온워드: 단 하루의 기적,8.99
870,21,남매의 여름밤,8.99
871,22,윤희에게,8.98
872,23,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
873,24,배심원들,8.89
874,25,담보,8.88
875,26,거인,8.87
876,27,1917,8.86
877,28,미스터트롯: 더 무비,8.86
878,29,작은 아씨들,8.84
879,30,아멜리에,8.82
880,31,미드웨이,8.80
881,32,위플래쉬,8.79
882,33,너의 이름은.,8.78
883,34,"가장 따뜻한 색, 블루",8.77
884,35,도그빌,8.76
885,36,벌새,8.76
886,37,베스트 오퍼,8.65
887,38,플로리다 프로젝트,8.64
888,39,69세,8.63
889,40,라라랜드,8.61
890,41,킹덤 오브 헤븐: 디렉터스 컷,8.58
891,42,족구왕,8.54
892,43,삼진그룹 영어토익반,8.47
893,44,로렌스 애니웨이 ,8.44
894,45,카페 벨에포크,8.42
895,46,셔터 아일랜드,8.37
896,47,레볼루셔너리 로드,8.37
897,48,복수는 나의 것,8.37
898,49,밤쉘: 세상을 바꾼 폭탄선언,8.35
899,50,메기,8.29
900,1,부활: 그 증거,9.51
901,2,포드 V 페라리,9.49
902,3,소년시절의 너,9.40
903,4,"미안해요, 리키",9.34
904,5,시네마 천국,9.32
905,6,패왕별희 디 오리지널,9.32
906,7,폴란드로 간 아이들,9.31
907,8,공동경비구역 JSA,9.27
908,9,피아니스트의 전설,9.25
909,10,어느 가족,9.20
910,11,톰보이,9.20
911,12,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18
912,13,조조 래빗,9.16
913,14,나이브스 아웃,9.11
914,15,타오르는 여인의 초상,9.06
915,16,노트북,9.05
916,17,올드보이,9.05
917,18,박하사탕,9.03
918,19,온워드: 단 하루의 기적,8.99
919,20,남매의 여름밤,8.99
920,21,윤희에게,8.98
921,22,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
922,23,배심원들,8.89
923,24,담보,8.89
924,25,거인,8.87
925,26,1917,8.86
926,27,미스터트롯: 더 무비,8.86
927,28,작은 아씨들,8.84
928,29,아멜리에,8.82
929,30,미드웨이,8.80
930,31,위플래쉬,8.79
931,32,너의 이름은.,8.78
932,33,"가장 따뜻한 색, 블루",8.77
933,34,위로공단,8.76
934,35,도그빌,8.76
935,36,벌새,8.76
936,37,그을린 사랑,8.68
937,38,플로리다 프로젝트,8.64
938,39,69세,8.63
939,40,라라랜드,8.61
940,41,킹덤 오브 헤븐: 디렉터스 컷,8.58
941,42,족구왕,8.54
942,43,삼진그룹 영어토익반,8.47
943,44,로렌스 애니웨이 ,8.44
944,45,카페 벨에포크,8.42
945,46,셔터 아일랜드,8.37
946,47,레볼루셔너리 로드,8.37
947,48,복수는 나의 것,8.37
948,49,밤쉘: 세상을 바꾼 폭탄선언,8.35
949,50,메기,8.29
950,1,부활: 그 증거,9.51
951,2,포드 V 페라리,9.49
952,3,소년시절의 너,9.40
953,4,"미안해요, 리키",9.34
954,5,패왕별희 디 오리지널,9.32
955,6,폴란드로 간 아이들,9.31
956,7,공동경비구역 JSA,9.27
957,8,피아니스트의 전설,9.25
958,9,어느 가족,9.20
959,10,톰보이,9.20
960,11,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18
961,12,조조 래빗,9.16
962,13,나이브스 아웃,9.11
963,14,타오르는 여인의 초상,9.06
964,15,노트북,9.05
965,16,올드보이,9.05
966,17,박하사탕,9.03
967,18,온워드: 단 하루의 기적,8.99
968,19,남매의 여름밤,8.99
969,20,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
970,21,윤희에게,8.98
971,22,담보,8.89
972,23,1917,8.86
973,24,미스터트롯: 더 무비,8.86
974,25,작은 아씨들,8.84
975,26,아멜리에,8.82
976,27,미드웨이,8.80
977,28,위플래쉬,8.79
978,29,너의 이름은.,8.78
979,30,"가장 따뜻한 색, 블루",8.77
980,31,위로공단,8.76
981,32,도그빌,8.76
982,33,벌새,8.76
983,34,그을린 사랑,8.68
984,35,플로리다 프로젝트,8.64
985,36,69세,8.63
986,37,라라랜드,8.61
987,38,킹덤 오브 헤븐: 디렉터스 컷,8.58
988,39,족구왕,8.54
989,40,내가 죽던 날,8.48
990,41,삼진그룹 영어토익반,8.46
991,42,로렌스 애니웨이 ,8.44
992,43,카페 벨에포크,8.42
993,44,셔터 아일랜드,8.37
994,45,레볼루셔너리 로드,8.37
995,46,복수는 나의 것,8.37
996,47,메기,8.29
997,48,테넷,8.27
998,49,야구소녀,8.19
999,50,검객,8.14
1000,1,부활: 그 증거,9.51
1001,2,포드 V 페라리,9.49
1002,3,소년시절의 너,9.40
1003,4,"미안해요, 리키",9.34
1004,5,패왕별희 디 오리지널,9.31
1005,6,폴란드로 간 아이들,9.31
1006,7,공동경비구역 JSA,9.27
1007,8,피아니스트의 전설,9.25
1008,9,어느 가족,9.20
1009,10,톰보이,9.20
1010,11,조조 래빗,9.16
1011,12,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.15
1012,13,나이브스 아웃,9.10
1013,14,타오르는 여인의 초상,9.06
1014,15,노트북,9.05
1015,16,올드보이,9.05
1016,17,박하사탕,9.03
1017,18,온워드: 단 하루의 기적,8.99
1018,19,남매의 여름밤,8.99
1019,20,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
1020,21,윤희에게,8.98
1021,22,담보,8.89
1022,23,1917,8.86
1023,24,미스터트롯: 더 무비,8.86
1024,25,작은 아씨들,8.84
1025,26,아멜리에,8.82
1026,27,미드웨이,8.80
1027,28,위플래쉬,8.79
1028,29,너의 이름은.,8.78
1029,30,"가장 따뜻한 색, 블루",8.77
1030,31,위로공단,8.76
1031,32,도그빌,8.76
1032,33,벌새,8.76
1033,34,그을린 사랑,8.68
1034,35,플로리다 프로젝트,8.64
1035,36,69세,8.63
1036,37,라라랜드,8.61
1037,38,킹덤 오브 헤븐: 디렉터스 컷,8.58
1038,39,족구왕,8.54
1039,40,렛 미 인,8.52
1040,41,삼진그룹 영어토익반,8.45
1041,42,로렌스 애니웨이 ,8.44
1042,43,카페 벨에포크,8.42
1043,44,셔터 아일랜드,8.37
1044,45,레볼루셔너리 로드,8.37
1045,46,복수는 나의 것,8.37
1046,47,메기,8.29
1047,48,내가 죽던 날,8.28
1048,49,테넷,8.27
1049,50,야구소녀,8.19
1050,1,극장판 바이올렛 에버가든,9.65
1051,2,부활: 그 증거,9.52
1052,3,포드 V 페라리,9.49
1053,4,소년시절의 너,9.40
1054,5,죽은 시인의 사회,9.37
1055,6,"미안해요, 리키",9.34
1056,7,시네마 천국,9.32
1057,8,패왕별희 디 오리지널,9.31
1058,9,폴란드로 간 아이들,9.31
1059,10,공동경비구역 JSA,9.27
1060,11,피아니스트의 전설,9.25
1061,12,어느 가족,9.20
1062,13,톰보이,9.20
1063,14,조조 래빗,9.16
1064,15,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.16
1065,16,나이브스 아웃,9.11
1066,17,타오르는 여인의 초상,9.06
1067,18,노트북,9.05
1068,19,올드보이,9.05
1069,20,박하사탕,9.03
1070,21,온워드: 단 하루의 기적,8.99
1071,22,남매의 여름밤,8.99
1072,23,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
1073,24,윤희에게,8.98
1074,25,담보,8.89
1075,26,1917,8.86
1076,27,미스터트롯: 더 무비,8.85
1077,28,작은 아씨들,8.84
1078,29,미드웨이,8.80
1079,30,위플래쉬,8.79
1080,31,너의 이름은.,8.78
1081,32,"가장 따뜻한 색, 블루",8.77
1082,33,위로공단,8.76
1083,34,도그빌,8.76
1084,35,벌새,8.76
1085,36,그을린 사랑,8.68
1086,37,베스트 오퍼,8.65
1087,38,플로리다 프로젝트,8.64
1088,39,69세,8.63
1089,40,라라랜드,8.61
1090,41,킹덤 오브 헤븐: 디렉터스 컷,8.58
1091,42,족구왕,8.54
1092,43,렛 미 인,8.52
1093,44,삼진그룹 영어토익반,8.46
1094,45,로렌스 애니웨이 ,8.44
1095,46,카페 벨에포크,8.42
1096,47,셔터 아일랜드,8.37
1097,48,레볼루셔너리 로드,8.37
1098,49,복수는 나의 것,8.37
1099,50,메기,8.29
1100,1,극장판 바이올렛 에버가든,9.65
1101,2,부활: 그 증거,9.52
1102,3,포드 V 페라리,9.49
1103,4,소년시절의 너,9.39
1104,5,죽은 시인의 사회,9.37
1105,6,"미안해요, 리키",9.34
1106,7,시네마 천국,9.32
1107,8,패왕별희 디 오리지널,9.32
1108,9,폴란드로 간 아이들,9.31
1109,10,공동경비구역 JSA,9.27
1110,11,피아니스트의 전설,9.25
1111,12,톰보이,9.20
1112,13,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.17
1113,14,조조 래빗,9.16
1114,15,나이브스 아웃,9.11
1115,16,타오르는 여인의 초상,9.06
1116,17,노트북,9.05
1117,18,올드보이,9.05
1118,19,박하사탕,9.03
1119,20,남매의 여름밤,8.99
1120,21,윤희에게,8.98
1121,22,담보,8.89
1122,23,미스터트롯: 더 무비,8.85
1123,24,작은 아씨들,8.84
1124,25,미드웨이,8.80
1125,26,위플래쉬,8.79
1126,27,너의 이름은.,8.78
1127,28,"가장 따뜻한 색, 블루",8.77
1128,29,위로공단,8.76
1129,30,그을린 사랑,8.68
1130,31,베스트 오퍼,8.65
1131,32,69세,8.63
1132,33,라라랜드,8.61
1133,34,킹덤 오브 헤븐: 디렉터스 컷,8.58
1134,35,족구왕,8.54
1135,36,렛 미 인,8.52
1136,37,삼진그룹 영어토익반,8.46
1137,38,로렌스 애니웨이 ,8.44
1138,39,카페 벨에포크,8.42
1139,40,셔터 아일랜드,8.37
1140,41,레볼루셔너리 로드,8.37
1141,42,복수는 나의 것,8.37
1142,43,미성년,8.35
1143,44,메기,8.29
1144,45,테넷,8.27
1145,46,야구소녀,8.19
1146,47,내가 죽던 날,8.13
1147,48,프란시스 하,8.13
1148,49,검객,8.11
1149,50,드라이브,8.07
1150,1,극장판 바이올렛 에버가든,9.66
1151,2,부활: 그 증거,9.53
1152,3,원더,9.50
1153,4,포드 V 페라리,9.49
1154,5,소년시절의 너,9.39
1155,6,죽은 시인의 사회,9.37
1156,7,"미안해요, 리키",9.32
1157,8,시네마 천국,9.32
1158,9,패왕별희 디 오리지널,9.32
1159,10,폴란드로 간 아이들,9.31
1160,11,공동경비구역 JSA,9.27
1161,12,우리들,9.26
1162,13,피아니스트의 전설,9.25
1163,14,어느 가족,9.20
1164,15,톰보이,9.20
1165,16,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18
1166,17,조조 래빗,9.16
1167,18,나이브스 아웃,9.11
1168,19,타오르는 여인의 초상,9.06
1169,20,노트북,9.05
1170,21,올드보이,9.05
1171,22,타샤 튜더,9.04
1172,23,박하사탕,9.03
1173,24,온워드: 단 하루의 기적,8.99
1174,25,남매의 여름밤,8.99
1175,26,윤희에게,8.98
1176,27,담보,8.89
1177,28,1917,8.86
1178,29,미스터트롯: 더 무비,8.85
1179,30,작은 아씨들,8.84
1180,31,미드웨이,8.80
1181,32,위플래쉬,8.79
1182,33,너의 이름은.,8.78
1183,34,"가장 따뜻한 색, 블루",8.77
1184,35,위로공단,8.76
1185,36,벌새,8.76
1186,37,베스트 오퍼,8.65
1187,38,플로리다 프로젝트,8.63
1188,39,69세,8.63
1189,40,퐁네프의 연인들,8.62
1190,41,라라랜드,8.61
1191,42,킹덤 오브 헤븐: 디렉터스 컷,8.58
1192,43,족구왕,8.54
1193,44,렛 미 인,8.52
1194,45,삼진그룹 영어토익반,8.46
1195,46,로렌스 애니웨이 ,8.44
1196,47,레토,8.44
1197,48,카페 벨에포크,8.42
1198,49,셔터 아일랜드,8.37
1199,50,레볼루셔너리 로드,8.37
1200,1,극장판 바이올렛 에버가든,9.65
1201,2,부활: 그 증거,9.53
1202,3,원더,9.50
1203,4,포드 V 페라리,9.49
1204,5,소년시절의 너,9.40
1205,6,죽은 시인의 사회,9.37
1206,7,"미안해요, 리키",9.32
1207,8,시네마 천국,9.32
1208,9,패왕별희 디 오리지널,9.32
1209,10,폴란드로 간 아이들,9.31
1210,11,공동경비구역 JSA,9.27
1211,12,우리들,9.26
1212,13,피아니스트의 전설,9.25
1213,14,어느 가족,9.20
1214,15,톰보이,9.20
1215,16,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18
1216,17,조조 래빗,9.16
1217,18,칠곡 가시나들,9.14
1218,19,나이브스 아웃,9.11
1219,20,타오르는 여인의 초상,9.06
1220,21,노트북,9.05
1221,22,올드보이,9.05
1222,23,타샤 튜더,9.04
1223,24,박하사탕,9.03
1224,25,남매의 여름밤,8.99
1225,26,윤희에게,8.98
1226,27,담보,8.89
1227,28,바르다가 사랑한 얼굴들,8.89
1228,29,1917,8.86
1229,30,미스터트롯: 더 무비,8.85
1230,31,작은 아씨들,8.84
1231,32,미드웨이,8.80
1232,33,위플래쉬,8.79
1233,34,너의 이름은.,8.78
1234,35,소공녀,8.77
1235,36,"가장 따뜻한 색, 블루",8.77
1236,37,위로공단,8.76
1237,38,벌새,8.76
1238,39,귀여운 여인,8.70
1239,40,베스트 오퍼,8.65
1240,41,플로리다 프로젝트,8.63
1241,42,69세,8.63
1242,43,퐁네프의 연인들,8.62
1243,44,오두막,8.61
1244,45,라라랜드,8.61
1245,46,킹덤 오브 헤븐: 디렉터스 컷,8.59
1246,47,족구왕,8.54
1247,48,렛 미 인,8.52
1248,49,삼진그룹 영어토익반,8.47
1249,50,레토,8.44
1250,1,극장판 바이올렛 에버가든,9.61
1251,2,부활: 그 증거,9.52
1252,3,원더,9.50
1253,4,포드 V 페라리,9.49
1254,5,주전장,9.48
1255,6,소년시절의 너,9.40
1256,7,죽은 시인의 사회,9.37
1257,8,"미안해요, 리키",9.32
1258,9,시네마 천국,9.32
1259,10,패왕별희 디 오리지널,9.32
1260,11,폴란드로 간 아이들,9.31
1261,12,허스토리,9.29
1262,13,자백,9.29
1263,14,인생,9.27
1264,15,공동경비구역 JSA,9.27
1265,16,우리들,9.26
1266,17,피아니스트의 전설,9.25
1267,18,어느 가족,9.20
1268,19,톰보이,9.20
1269,20,파수꾼,9.18
1270,21,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18
1271,22,조조 래빗,9.16
1272,23,사랑의 블랙홀,9.15
1273,24,칠곡 가시나들,9.14
1274,25,나이브스 아웃,9.11
1275,26,타오르는 여인의 초상,9.06
1276,27,당신이 잠든 사이에,9.06
1277,28,노트북,9.05
1278,29,올드보이,9.05
1279,30,타샤 튜더,9.04
1280,31,박하사탕,9.03
1281,32,세상을 바꾼 변호인,9.03
1282,33,남매의 여름밤,8.99
1283,34,윤희에게,8.98
1284,35,"그날, 바다",8.97
1285,36,스포트라이트,8.93
1286,37,해리가 샐리를 만났을 때,8.90
1287,38,담보,8.89
1288,39,바르다가 사랑한 얼굴들,8.89
1289,40,1917,8.86
1290,41,미스터트롯: 더 무비,8.85
1291,42,작은 아씨들,8.84
1292,43,다음 침공은 어디?,8.82
1293,44,미드웨이,8.80
1294,45,위플래쉬,8.79
1295,46,너의 이름은.,8.78
1296,47,소공녀,8.77
1297,48,"가장 따뜻한 색, 블루",8.77
1298,49,위로공단,8.76
1299,50,더 포스트,8.76
1300,1,극장판 바이올렛 에버가든,9.60
1301,2,부활: 그 증거,9.50
1302,3,원더,9.50
1303,4,포드 V 페라리,9.49
1304,5,주전장,9.48
1305,6,소년시절의 너,9.40
1306,7,죽은 시인의 사회,9.37
1307,8,"미안해요, 리키",9.32
1308,9,시네마 천국,9.32
1309,10,패왕별희 디 오리지널,9.32
1310,11,폴란드로 간 아이들,9.31
1311,12,허스토리,9.29
1312,13,자백,9.29
1313,14,인생,9.27
1314,15,공동경비구역 JSA,9.27
1315,16,우리들,9.26
1316,17,피아니스트의 전설,9.25
1317,18,어느 가족,9.20
1318,19,톰보이,9.20
1319,20,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.19
1320,21,파수꾼,9.18
1321,22,조조 래빗,9.16
1322,23,사랑의 블랙홀,9.15
1323,24,칠곡 가시나들,9.14
1324,25,나이브스 아웃,9.11
1325,26,타오르는 여인의 초상,9.06
1326,27,당신이 잠든 사이에,9.06
1327,28,노트북,9.05
1328,29,올드보이,9.05
1329,30,타샤 튜더,9.04
1330,31,박하사탕,9.03
1331,32,세상을 바꾼 변호인,9.03
1332,33,비긴 어게인,9.03
1333,34,싱 스트리트,9.02
1334,35,남매의 여름밤,8.99
1335,36,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
1336,37,윤희에게,8.98
1337,38,"그날, 바다",8.97
1338,39,스포트라이트,8.93
1339,40,해리가 샐리를 만났을 때,8.90
1340,41,담보,8.89
1341,42,바르다가 사랑한 얼굴들,8.89
1342,43,1917,8.86
1343,44,미스터트롯: 더 무비,8.85
1344,45,작은 아씨들,8.84
1345,46,다음 침공은 어디?,8.82
1346,47,미드웨이,8.80
1347,48,위플래쉬,8.79
1348,49,너의 이름은.,8.78
1349,50,소공녀,8.77
1350,1,극장판 바이올렛 에버가든,9.58
1351,2,포드 V 페라리,9.49
1352,3,주전장,9.48
1353,4,부활: 그 증거,9.48
1354,5,소년시절의 너,9.40
1355,6,"미안해요, 리키",9.32
1356,7,시네마 천국,9.32
1357,8,패왕별희 디 오리지널,9.32
1358,9,폴란드로 간 아이들,9.31
1359,10,허스토리,9.29
1360,11,자백,9.29
1361,12,인생,9.27
1362,13,공동경비구역 JSA,9.27
1363,14,피아니스트의 전설,9.25
1364,15,어느 가족,9.20
1365,16,톰보이,9.20
1366,17,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.19
1367,18,파수꾼,9.18
1368,19,조조 래빗,9.16
1369,20,사랑의 블랙홀,9.15
1370,21,칠곡 가시나들,9.14
1371,22,나이브스 아웃,9.11
1372,23,타오르는 여인의 초상,9.06
1373,24,당신이 잠든 사이에,9.06
1374,25,노트북,9.05
1375,26,올드보이,9.05
1376,27,타샤 튜더,9.04
1377,28,박하사탕,9.03
1378,29,세상을 바꾼 변호인,9.03
1379,30,비긴 어게인,9.03
1380,31,싱 스트리트,9.02
1381,32,온워드: 단 하루의 기적,9.00
1382,33,남매의 여름밤,8.99
1383,34,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
1384,35,윤희에게,8.98
1385,36,"그날, 바다",8.97
1386,37,스포트라이트,8.93
1387,38,해리가 샐리를 만났을 때,8.90
1388,39,담보,8.90
1389,40,바르다가 사랑한 얼굴들,8.89
1390,41,1917,8.86
1391,42,미스터트롯: 더 무비,8.85
1392,43,작은 아씨들,8.84
1393,44,다음 침공은 어디?,8.82
1394,45,미드웨이,8.80
1395,46,위플래쉬,8.79
1396,47,너의 이름은.,8.78
1397,48,소공녀,8.77
1398,49,"가장 따뜻한 색, 블루",8.77
1399,50,위로공단,8.76
1400,1,극장판 바이올렛 에버가든,9.54
1401,2,포드 V 페라리,9.49
1402,3,부활: 그 증거,9.48
1403,4,주전장,9.48
1404,5,소년시절의 너,9.40
1405,6,"미안해요, 리키",9.32
1406,7,패왕별희 디 오리지널,9.32
1407,8,폴란드로 간 아이들,9.31
1408,9,허스토리,9.29
1409,10,자백,9.29
1410,11,인생,9.28
1411,12,공동경비구역 JSA,9.27
1412,13,피아니스트의 전설,9.25
1413,14,어느 가족,9.20
1414,15,톰보이,9.20
1415,16,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.20
1416,17,파수꾼,9.18
1417,18,조조 래빗,9.16
1418,19,사랑의 블랙홀,9.15
1419,20,칠곡 가시나들,9.14
1420,21,나이브스 아웃,9.11
1421,22,타오르는 여인의 초상,9.06
1422,23,당신이 잠든 사이에,9.06
1423,24,노트북,9.05
1424,25,타샤 튜더,9.04
1425,26,박하사탕,9.03
1426,27,비긴 어게인,9.03
1427,28,세상을 바꾼 변호인,9.02
1428,29,싱 스트리트,9.02
1429,30,온워드: 단 하루의 기적,9.00
1430,31,남매의 여름밤,8.99
1431,32,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,8.98
1432,33,윤희에게,8.98
1433,34,"그날, 바다",8.97
1434,35,스포트라이트,8.93
1435,36,해리가 샐리를 만났을 때,8.90
1436,37,담보,8.90
1437,38,바르다가 사랑한 얼굴들,8.89
1438,39,1917,8.86
1439,40,미스터트롯: 더 무비,8.85
1440,41,작은 아씨들,8.84
1441,42,다음 침공은 어디?,8.82
1442,43,미드웨이,8.80
1443,44,위플래쉬,8.79
1444,45,너의 이름은.,8.78
1445,46,소공녀,8.77
1446,47,"가장 따뜻한 색, 블루",8.77
1447,48,위로공단,8.76
1448,49,더 포스트,8.76
1449,50,벌새,8.75
1450,1,극장판 바이올렛 에버가든,9.54
1451,2,포드 V 페라리,9.49
1452,3,부활: 그 증거,9.48
1453,4,주전장,9.48
1454,5,소년시절의 너,9.40
1455,6,"미안해요, 리키",9.32
1456,7,패왕별희 디 오리지널,9.32
1457,8,허스토리,9.29
1458,9,인생,9.28
1459,10,공동경비구역 JSA,9.27
1460,11,피아니스트의 전설,9.25
1461,12,어느 가족,9.20
1462,13,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.20
1463,14,톰보이,9.20
1464,15,파수꾼,9.18
1465,16,조조 래빗,9.16
1466,17,사랑의 블랙홀,9.15
1467,18,칠곡 가시나들,9.14
1468,19,나이브스 아웃,9.11
1469,20,타오르는 여인의 초상,9.06
1470,21,당신이 잠든 사이에,9.06
1471,22,노트북,9.05
1472,23,타샤 튜더,9.04
1473,24,박하사탕,9.03
1474,25,비긴 어게인,9.03
1475,26,세상을 바꾼 변호인,9.02
1476,27,싱 스트리트,9.02
1477,28,남매의 여름밤,8.99
1478,29,윤희에게,8.98
1479,30,"그날, 바다",8.97
1480,31,스포트라이트,8.93
1481,32,해리가 샐리를 만났을 때,8.90
1482,33,담보,8.90
1483,34,바르다가 사랑한 얼굴들,8.89
1484,35,미스터트롯: 더 무비,8.85
1485,36,작은 아씨들,8.84
1486,37,다음 침공은 어디?,8.82
1487,38,미드웨이,8.80
1488,39,위플래쉬,8.79
1489,40,너의 이름은.,8.78
1490,41,소공녀,8.77
1491,42,"가장 따뜻한 색, 블루",8.77
1492,43,위로공단,8.76
1493,44,더 포스트,8.76
1494,45,벌새,8.75
1495,46,우리집,8.72
1496,47,귀여운 여인,8.70
1497,48,귀향,8.69
1498,49,마미,8.68
1499,50,그을린 사랑,8.68
1500,1,극장판 바이올렛 에버가든,9.53
1501,2,포드 V 페라리,9.49
1502,3,주전장,9.48
1503,4,부활: 그 증거,9.46
1504,5,소년시절의 너,9.40
1505,6,"미안해요, 리키",9.32
1506,7,패왕별희 디 오리지널,9.32
1507,8,허스토리,9.29
1508,9,인생,9.28
1509,10,피아니스트의 전설,9.25
1510,11,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.20
1511,12,톰보이,9.20
1512,13,파수꾼,9.18
1513,14,조조 래빗,9.16
1514,15,사랑의 블랙홀,9.15
1515,16,칠곡 가시나들,9.14
1516,17,나이브스 아웃,9.11
1517,18,타오르는 여인의 초상,9.06
1518,19,당신이 잠든 사이에,9.06
1519,20,노트북,9.05
1520,21,타샤 튜더,9.04
1521,22,박하사탕,9.03
1522,23,비긴 어게인,9.03
1523,24,세상을 바꾼 변호인,9.02
1524,25,싱 스트리트,9.02
1525,26,온워드: 단 하루의 기적,9.00
1526,27,남매의 여름밤,8.99
1527,28,윤희에게,8.98
1528,29,스포트라이트,8.93
1529,30,해리가 샐리를 만났을 때,8.90
1530,31,담보,8.89
1531,32,바르다가 사랑한 얼굴들,8.89
1532,33,1917,8.86
1533,34,미스터트롯: 더 무비,8.85
1534,35,작은 아씨들,8.84
1535,36,다음 침공은 어디?,8.82
1536,37,미드웨이,8.80
1537,38,위플래쉬,8.79
1538,39,너의 이름은.,8.78
1539,40,소공녀,8.77
1540,41,"가장 따뜻한 색, 블루",8.77
1541,42,위로공단,8.76
1542,43,우리집,8.72
1543,44,귀여운 여인,8.70
1544,45,귀향,8.69
1545,46,마미,8.68
1546,47,잠수종과 나비,8.65
1547,48,69세,8.63
1548,49,퐁네프의 연인들,8.62
1549,50,라라랜드,8.61
