,메뉴,설명
47,옥수수 범벅,톡톡 터지는 옥수수와 크림치즈가 듬뿍 들어있어 한번 맛보면 계속 생각나는 빵
48,골든 고구마 패스트리,달콤한 고구마 무스를 넣은 빵 위에 짭짤한 치즈를 뿌려 구워낸 패스트리
49,반반모스,밤이 듬뿍 맘모스와 흑심 품은 맘모스 두 가지 제품을 동시에 즐길 수 있는 반반모스
50,황금파이만주,앙금의 달콤함과 버터의 진한 풍미가 어우러지는 황금색 파이만주
51,오리지날 뺑오레쟁,"프랑스 버터를 사용하여, 풍미가 진한 바삭한 패스트리에 달콤한 커스터드 크림과 건포도가 잘..."
52,바통쉬크레,"프랑스 버터를 사용하여, 풍미가 진한 바삭한 패스트리에 달콤한 설탕을 토핑 하여 구워낸 스..."
53,갈릭퐁당브레드(소),겉은 바삭 속은 부드러운 바게뜨 위에 직접 끓인 의성 마늘로 만든 소스를 듬뿍 뿌려 촉촉한...
54,갈릭퐁당브레드(대),겉은 바삭 속은 부드러운 바게뜨 위에 직접 끓인 의성 마늘로 만든 소스를 듬뿍 뿌려 촉촉한...
55,흑미 찹쌀 토스트 식빵,"찹쌀탕종과 흑미찹쌀이 만난 특유의 쫄깃한 
식감이 특징인 제품으로 토스트 했을 때 겉은 ..."
56,고메버터식빵,브라운버터를 넣어 버터의 풍미를 올린 촉촉하고 부드러운 빵에 바삭하고 고소한 풍미의 패스트...
57,통우유식빵,"30.7% 우유 함량으로 쫄깃한 식감과 고소한 
풍미가 일품으로, 통으로 제공되어..."
58,통우유식빵(Half),"30.7%우유 함량으로 쫄깃한 식감과 고소한 
풍미가 일품으로, 통으로 제공되어 ..."
59,상큼하고 달구나 패스트리,버터 풍미 가득한 패스트리에 상큼한 레몬크림으로 맛을 더하고 달콤한 설탕으로  바삭한 식감...
60,구운 치즈케이크 빵,부드러운 빵 속에 진한 크림치즈를 넣고 구워낸 빵으로 탄생한 치즈케이크
61,통밀 호두 식빵(Half),고소한 통밀과 호두를 넣어 극강의 고소함과 담백함을 느낄 수 있는 건강한 식빵
62,흑심 품은 맘모스(소),"통팥앙금이 들어간 빵 사이에 고소한 흑임자 크림치즈, 밤 다이스가 들어간 간식용 빵"
63,러스크가 달구나,생크림과 꿀토핑물을 바르고 구워서 더욱 달콤 바삭해 한 번 먹으면 멈출 수 없는 러스크
64,NEW 후랑크 패스트리,바삭한 패스트리에 소시지와 양배추 샐러드 내용물을 올린 조리형 패스트리 제품
65,사르르 고구마 케이크 빵,고구마를 닮은 빵에 부드러운 크림과 고구마 필링이 듬뿍 들어있어 입안에서 사르르 녹는 빵
66,베리베리 건강브레드(소),"유럽빵 고유의 담백함과 원재료 본연의 새콤, 
달콤한 맛을 동시에 즐길 수 있는 
유럽..."
67,베리베리 건강브레드(대),"유럽빵 고유의 담백함과 원재료 본연의 새콤, 
달콤한 맛을 동시에 즐길 수 있는 
유럽..."
68,초코칩트위스트,바삭한 패스트리에 초콜릿칩과 슈크림을 넣은 스틱형 제품
69,고소하고 쫄깃한 찹쌀브레드,담백한 빵 속에 쫄깃한 찹쌀과 고소하고 담백한 견과류가 토핑 된 대형 제품
